delay	freq	condition	textbox.text																
0.1	1000	exp	"140
"																
0.1	400	exp	100																
0.1	1000	exp	400																
0.4	1000	exp	1000																
0.4	1000	exp	400																
0.7	1000	exp	100																
0.4	400	exp	75																
0.7	1000	exp	400																
0.1	1000	exp	600																
0.7	400	exp	400																
0.4	1000	exp	400																
0.4	1000	exp	250																
0.7	400	exp	500																
0.1	1000	exp	700																
0.4	400	exp	450																
0.1	1000	exp	450																
0.7	1000	exp	700																
0.1	400	exp	600																
0.1	1000	exp	400																
0.7	1000	exp	300																
0.4	400	exp	650																
0.4	1000	exp	450																
0.7	1000	exp	158																
0.7	400	exp	500																
0.7	1000	exp	700																
0.1	1000	exp	120																
0.4	1000	exp	600																
0.1	1000	exp	700																
0.1	1000	exp	500																
0.1	400	exp	650																
0.1	1000	exp	450																
0.4	400	exp	700																
0.4	1000	exp	650																
0.1	1000	exp	650																
0.7	400	exp	750																
0.7	1000	exp	800																
0.1	400	exp	600																
0.4	1000	exp	500																
0.1	1000	exp	650																
0.7	1000	exp	800																
0.4	400	exp	700																
0.7	1000	exp	650																
0.7	400	exp	600																
0.1	400	exp	700																
0.4	1000	exp	700																
0.1	1000	exp	700			mean													
0.1	1000	exp	800			expected	592.942029												
0.7	1000	exp	550			unexpected	496.5												
0.4	1000	exp	650																
0.1	1000	exp	700																
0.1	1000	exp	650																
0.7	1000	exp	750																
0.4	1000	exp	700																
0.7	400	exp	850																
0.1	1000	exp	650																
0.4	1000	exp	700																
0.1	400	exp	750																
0.4	400	exp	700																
0.7	1000	exp	550																
0.1	1000	exp	550																
0.7	1000	exp	850																
0.7	1000	exp	660																
0.7	400	exp	750																
0.4	400	exp	750																
0.1	400	exp	750																
0.1	1000	exp	850																
0.4	1000	exp	750																
0.1	1000	exp	800																
0.1	1000	exp	700																
0.4	1000	exp	650																
0.1	400	unexp	400																
0.4	400	unexp	100																
0.7	1000	unexp	75																
0.7	400	unexp	145																
0.4	1000	unexp	150																
0.1	1000	unexp	175																
0.1	1000	unexp	150																
0.7	1000	unexp	175																
0.4	1000	unexp	850																
0.1	1000	unexp	230																
0.1	400	unexp	450																
0.7	1000	unexp	145																
0.4	1000	unexp	800																
0.4	1000	unexp	300																
0.7	1000	unexp	800																
0.4	400	unexp	750																
0.7	400	unexp	600																
0.1	1000	unexp	750																
0.1	1000	unexp	800																
0.1	1000	unexp	450																
0.1	400	unexp	500																
0.4	1000	unexp	700																
0.4	400	unexp	800																
0.4	1000	unexp	650																
0.7	1000	unexp	500																
0.7	400	unexp	700																
0.1	1000	unexp	750																
0.1	1000	unexp	800																
0.1	1000	unexp	650																
0.7	1000	unexp	550																
